latitude,longitude,acq_date,avgtemp_c,total_precip_mm,avg_humidity,pressure_in,wind_kph
28.928,75.8648,2024-10-21,27.8,0.0,31.0,29.841250000000002,12.2
31.4089,76.2722,2024-10-21,21.8,0.0,46.0,29.908749999999998,10.4
31.4069,76.284,2024-10-21,21.8,0.0,46.0,29.908749999999998,10.4
29.1735,75.766,2024-10-21,27.8,0.0,30.0,29.840416666666666,11.5
28.926,75.8766,2024-10-21,27.8,0.0,31.0,29.841250000000002,12.2
28.8525,75.8797,2024-10-21,27.8,0.0,31.0,29.841250000000002,12.2
28.8505,75.8916,2024-10-21,27.8,0.0,31.0,29.841250000000002,12.2
28.3074,73.4425,2024-10-21,31.2,0.0,17.0,29.817916666666665,13.7
28.3089,73.4325,2024-10-21,31.2,0.0,17.0,29.817916666666665,13.7
23.768,74.9442,2024-10-21,26.5,0.0,52.0,29.881249999999998,13.0
23.766,74.9561,2024-10-21,26.5,0.0,52.0,29.881249999999998,13.0
22.2194,71.8365,2024-10-21,28.3,10.9,60.0,29.835416666666664,10.4
24.0719,75.3441,2024-10-21,26.5,0.0,52.0,29.881249999999998,13.0
19.6138,73.9286,2024-10-21,24.7,8.4,80.0,29.886666666666667,8.3
18.6895,73.0364,2024-10-21,26.0,13.93,86.0,29.847916666666666,7.2
27.8838,95.4461,2024-10-21,23.0,0.0,75.0,29.869583333333335,5.0
12.996,80.0188,2024-10-21,28.4,3.5,74.0,29.81625,14.4
12.8973,79.908,2024-10-21,27.8,3.8,76.0,29.8175,12.6
17.6421,80.9901,2024-10-21,26.1,19.8,88.0,29.844166666666666,7.9
15.4757,78.2497,2024-10-21,26.3,14.27,81.0,29.83375,8.6
18.1208,80.7079,2024-10-21,26.1,19.8,88.0,29.844166666666666,7.9
18.39,80.4641,2024-10-21,26.1,19.8,88.0,29.844166666666666,7.9
19.0397,79.9141,2024-10-21,25.6,4.54,88.0,29.860833333333332,10.8
20.9573,86.0126,2024-10-21,27.4,0.1,68.0,29.83666666666667,10.1
21.6752,84.0414,2024-10-21,26.5,0.0,66.0,29.853333333333335,9.4
21.764,84.0211,2024-10-21,26.5,0.0,57.0,29.85875,9.7
22.0366,83.7331,2024-10-21,26.9,0.0,56.0,29.858333333333334,6.1
22.7907,86.2057,2024-10-21,26.4,0.0,56.0,29.859583333333333,9.7
22.1347,81.3647,2024-10-21,22.7,0.0,59.0,29.9175,13.0
22.1331,81.3545,2024-10-21,22.7,0.0,59.0,29.9175,13.0
22.3536,82.3016,2024-10-21,26.1,0.0,60.0,29.865,6.5
18.6825,79.767,2024-10-21,25.7,9.18,88.0,29.85666666666667,10.1
24.2469,79.9125,2024-10-21,25.6,0.0,53.0,29.878333333333334,9.4
23.6737,86.0857,2024-10-21,25.9,0.0,52.0,29.868333333333336,15.5
24.8231,80.802,2024-10-21,26.7,0.0,42.0,29.87125,14.4
24.3865,77.3994,2024-10-21,26.2,0.0,43.0,29.881249999999998,10.1
25.1949,78.4368,2024-10-21,27.6,0.0,37.0,29.85875,12.2
25.2051,78.4346,2024-10-21,27.6,0.0,37.0,29.85875,12.2
25.2048,78.4417,2024-10-21,27.6,0.0,37.0,29.85875,12.2
25.2024,78.4284,2024-10-21,27.6,0.0,37.0,29.85875,12.2
25.8516,79.5243,2024-10-21,28.5,0.0,34.0,29.84583333333333,11.5
26.0441,79.068,2024-10-21,28.8,0.0,33.0,29.845416666666665,12.4
26.0421,79.056,2024-10-21,28.8,0.0,33.0,29.845416666666665,12.4
27.7363,77.522,2024-10-21,28.1,0.0,38.0,29.843333333333334,11.9
28.8411,79.9062,2024-10-21,24.8,0.4,63.0,29.870833333333334,9.0
28.8574,79.8919,2024-10-21,24.8,0.4,63.0,29.870833333333334,9.0
28.8783,79.7947,2024-10-21,24.8,0.0,62.0,29.869583333333335,9.0
28.8715,79.7522,2024-10-21,24.8,0.0,62.0,29.869583333333335,9.0
28.9307,79.7728,2024-10-21,24.8,0.0,62.0,29.869583333333335,9.0
28.8884,79.4485,2024-10-21,24.8,0.0,62.0,29.869583333333335,9.0
28.9319,79.4327,2024-10-21,24.8,0.0,62.0,29.869583333333335,9.0
28.9177,79.3453,2024-10-21,24.7,0.1,62.0,29.86916666666667,9.0
28.9253,78.0478,2024-10-21,25.6,0.0,56.0,29.863333333333333,10.8
26.2728,78.8885,2024-10-21,28.3,0.0,39.0,29.842916666666667,10.4
27.7383,77.5123,2024-10-21,28.1,0.0,38.0,29.843333333333334,11.9
27.8714,77.4551,2024-10-21,28.1,0.0,38.0,29.843333333333334,11.9
30.9384,74.5107,2024-10-21,26.9,0.0,30.0,29.851249999999997,14.0
30.6201,76.4245,2024-10-21,25.9,0.0,41.0,29.861666666666668,14.4
31.6871,75.2269,2024-10-21,25.9,0.0,38.0,29.859583333333333,11.9
30.6147,76.4324,2024-10-21,25.9,0.0,41.0,29.861666666666668,14.4
30.4882,76.4848,2024-10-21,25.5,0.0,46.0,29.860833333333332,11.9
30.2469,76.0657,2024-10-21,26.5,0.0,41.0,29.858333333333334,13.3
30.0653,77.6547,2024-10-21,24.7,0.0,57.0,29.870833333333334,9.7
30.2391,76.5344,2024-10-21,26.0,0.0,44.0,29.858333333333334,12.6
29.7473,75.8869,2024-10-21,26.9,0.0,39.0,29.849999999999998,10.8
29.5471,74.431,2024-10-21,28.5,0.0,19.0,29.834999999999997,11.2
29.6232,77.4301,2024-10-21,25.3,0.0,55.0,29.862083333333334,11.2
29.7303,77.9271,2024-10-21,24.3,0.0,59.0,29.873333333333335,8.6
30.0688,77.7332,2024-10-21,24.7,0.0,57.0,29.870833333333334,9.7
30.0666,77.7206,2024-10-21,24.7,0.0,57.0,29.870833333333334,9.7
30.0785,77.731,2024-10-21,24.7,0.0,57.0,29.870833333333334,9.7
31.4702,74.6514,2024-10-21,26.3,0.0,32.0,29.85291666666667,13.0
31.3708,75.1028,2024-10-21,26.5,0.0,33.0,29.858333333333334,13.0
30.4244,74.908,2024-10-21,27.0,0.0,31.0,29.85166666666667,13.7
22.3521,82.3028,2024-10-21,26.1,0.0,60.0,29.865,6.5
20.9678,86.0117,2024-10-21,27.4,0.1,68.0,29.83666666666667,10.1
20.9706,85.1723,2024-10-21,26.2,0.1,71.0,29.85166666666667,7.2
21.919,83.3529,2024-10-21,26.9,0.0,56.0,29.858333333333334,6.1
22.0404,83.7373,2024-10-21,26.9,0.0,56.0,29.858333333333334,6.1
22.0391,83.7265,2024-10-21,26.9,0.0,56.0,29.858333333333334,6.1
22.361,82.3014,2024-10-21,26.1,0.0,60.0,29.865,6.5
23.765,86.4002,2024-10-21,26.9,0.0,51.0,29.858333333333334,16.2
23.7782,86.2087,2024-10-21,26.6,0.0,50.0,29.863333333333333,16.2
25.0078,76.827,2024-10-21,27.9,0.0,43.0,29.860416666666666,15.1
23.7664,86.4002,2024-10-21,26.9,0.0,51.0,29.858333333333334,16.2
22.3677,87.3011,2024-10-21,26.0,0.0,67.0,29.842083333333335,15.8
22.0422,83.7349,2024-10-21,26.9,0.0,56.0,29.858333333333334,6.1
22.3793,87.2833,2024-10-21,26.0,0.0,67.0,29.842083333333335,15.8
20.798,85.2587,2024-10-21,26.2,0.1,71.0,29.85166666666667,7.2
20.969,85.1685,2024-10-21,26.2,0.1,71.0,29.85166666666667,7.2
23.7575,85.8597,2024-10-22,24.8,0.0,61.0,29.871666666666666,15.8
23.6805,86.3963,2024-10-22,26.7,0.0,57.0,29.852500000000003,16.9
23.6792,86.0924,2024-10-22,25.3,0.1,60.0,29.86583333333333,16.6
22.3771,87.2779,2024-10-22,25.7,0.0,72.0,29.83375,15.5
22.3635,87.3059,2024-10-22,25.7,0.0,72.0,29.83375,15.5
22.2112,84.8591,2024-10-22,24.2,0.0,62.0,29.876666666666665,15.8
22.0392,83.732,2024-10-22,25.3,0.0,54.0,29.879166666666666,9.0
22.0378,83.7425,2024-10-22,25.3,0.0,54.0,29.879166666666666,9.0
21.9234,83.3512,2024-10-22,25.3,0.0,54.0,29.879166666666666,9.0
21.7631,84.0215,2024-10-22,25.0,0.0,54.0,29.87625,12.6
21.6773,84.0444,2024-10-22,25.3,0.0,60.0,29.87125,11.9
20.9673,86.014,2024-10-22,26.5,0.0,65.0,29.832083333333333,14.0
20.953,86.0502,2024-10-22,26.4,0.0,67.0,29.829166666666666,17.3
21.0801,85.0401,2024-10-22,25.5,0.0,65.0,29.853333333333335,14.0
20.8659,84.9944,2024-10-22,25.5,0.0,65.0,29.853333333333335,14.0
20.7909,85.2563,2024-10-22,25.5,0.0,65.0,29.853333333333335,14.0
20.7896,85.2657,2024-10-22,25.5,0.0,65.0,29.853333333333335,14.0
22.2099,84.8688,2024-10-22,24.2,0.0,62.0,29.876666666666665,15.8
23.8037,86.3215,2024-10-22,26.1,0.0,57.0,29.86,15.1
23.8023,86.3311,2024-10-22,26.1,0.0,57.0,29.86,15.1
23.7807,86.3411,2024-10-22,26.1,0.0,57.0,29.86,15.1
23.7636,86.3971,2024-10-22,26.5,0.0,57.0,29.855416666666667,16.6
23.781,86.2137,2024-10-22,26.1,0.0,57.0,29.86,15.1
23.7736,86.2027,2024-10-22,26.1,0.0,57.0,29.86,15.1
27.7908,96.3297,2024-10-22,23.3,0.0,69.0,29.87708333333333,5.8
27.4595,95.4751,2024-10-22,23.3,0.0,69.0,29.87708333333333,5.8
27.6672,96.2369,2024-10-22,23.3,0.0,69.0,29.87708333333333,5.8
27.7169,96.2681,2024-10-22,23.3,0.0,69.0,29.87708333333333,5.8
27.7309,96.2903,2024-10-22,23.3,0.0,69.0,29.87708333333333,5.8
27.7295,96.2804,2024-10-22,23.3,0.0,69.0,29.87708333333333,5.8
27.7397,96.2887,2024-10-22,23.3,0.0,69.0,29.87708333333333,5.8
27.7922,96.3396,2024-10-22,23.3,0.0,69.0,29.87708333333333,5.8
25.4003,76.0403,2024-10-22,28.0,0.0,37.0,29.886666666666667,8.3
23.1402,71.5034,2024-10-22,29.5,7.0,53.0,29.852083333333336,11.5
24.6783,77.5576,2024-10-22,26.3,0.0,38.0,29.905416666666667,11.5
24.6636,77.1306,2024-10-22,26.4,0.0,42.0,29.905833333333334,8.6
24.656,76.9707,2024-10-22,26.4,0.0,42.0,29.905833333333334,8.6
24.8779,77.118,2024-10-22,26.4,0.0,42.0,29.905833333333334,8.6
25.0227,77.5895,2024-10-22,26.4,0.0,42.0,29.905833333333334,8.6
25.965,76.6074,2024-10-22,28.3,0.0,39.0,29.883750000000003,7.6
29.7426,75.301,2024-10-22,27.5,0.1,26.0,29.886666666666667,13.7
27.8563,77.4944,2024-10-22,27.5,0.0,38.0,29.885,9.7
29.8701,76.3688,2024-10-22,26.4,0.0,33.0,29.894166666666667,11.5
30.6441,76.3593,2024-10-22,25.7,0.0,37.0,29.9025,16.2
30.163,75.1422,2024-10-22,26.9,0.0,25.0,29.89,12.2
30.1614,75.1286,2024-10-22,26.9,0.0,25.0,29.89,12.2
30.5055,76.6661,2024-10-22,25.3,0.1,42.0,29.902083333333334,14.0
30.2484,74.0672,2024-10-22,27.4,0.0,22.0,29.883750000000003,11.5
30.4729,74.8357,2024-10-22,27.0,0.1,26.0,29.890833333333333,11.9
30.668,75.5555,2024-10-22,26.4,0.0,30.0,29.89708333333333,11.9
30.674,75.5478,2024-10-22,26.4,0.0,30.0,29.89708333333333,11.9
30.8759,74.4612,2024-10-22,26.7,0.1,26.0,29.890833333333333,12.6
31.1491,74.6114,2024-10-22,26.5,0.0,27.0,29.891666666666666,10.8
31.3351,75.3605,2024-10-22,26.2,0.0,33.0,29.900833333333335,11.2
31.3579,75.1134,2024-10-22,26.5,0.0,31.0,29.898750000000003,12.6
31.4193,74.7566,2024-10-22,26.5,0.0,31.0,29.898750000000003,12.6
31.4038,74.621,2024-10-22,26.4,0.0,28.0,29.895833333333332,9.0
31.5214,75.2004,2024-10-22,26.2,0.0,33.0,29.900833333333335,11.2
31.5197,75.1859,2024-10-22,26.2,0.0,33.0,29.900833333333335,11.2
34.1811,74.975,2024-10-22,15.0,0.0,35.0,30.060833333333335,4.5
34.1757,74.9849,2024-10-22,15.0,0.0,35.0,30.060833333333335,4.5
34.1744,74.9722,2024-10-22,15.0,0.0,35.0,30.060833333333335,4.5
19.2306,73.0245,2024-10-22,28.1,8.6,72.0,29.837083333333336,7.9
22.3573,82.3068,2024-10-22,24.9,0.0,53.0,29.886666666666667,9.7
22.3645,82.3008,2024-10-22,24.9,0.0,53.0,29.886666666666667,9.7
22.3621,82.3144,2024-10-22,24.9,0.0,53.0,29.886666666666667,9.7
21.1035,72.6443,2024-10-22,28.0,7.8,71.0,29.845,11.2
21.1148,72.6458,2024-10-22,28.0,7.8,71.0,29.845,11.2
28.213,80.1723,2024-10-23,25.5,0.0,54.0,29.83458333333333,9.4
26.7305,80.0484,2024-10-23,26.8,0.0,42.0,29.834999999999997,15.8
26.7285,80.0604,2024-10-23,26.8,0.0,42.0,29.834999999999997,15.8
26.7189,80.0584,2024-10-23,26.8,0.0,42.0,29.834999999999997,15.8
26.3026,79.9548,2024-10-23,27.4,0.0,38.0,29.837500000000002,16.8
26.2949,79.9409,2024-10-23,27.4,0.0,38.0,29.837500000000002,16.8
26.293,79.9529,2024-10-23,27.4,0.0,38.0,29.837500000000002,16.8
26.6572,75.1515,2024-10-23,27.4,0.0,33.0,29.88208333333333,9.3
25.9386,79.6745,2024-10-23,27.4,0.0,38.0,29.837500000000002,16.8
25.8498,79.5318,2024-10-23,27.2,0.0,35.0,29.839583333333334,20.5
25.6727,80.3357,2024-10-23,27.2,0.0,38.0,29.834999999999997,19.4
25.6649,80.3211,2024-10-23,27.2,0.0,38.0,29.834999999999997,19.4
25.6627,80.3337,2024-10-23,27.2,0.0,38.0,29.834999999999997,19.4
25.194,77.0414,2024-10-23,28.2,0.0,35.0,29.862916666666667,9.7
25.1351,77.0112,2024-10-23,28.2,0.0,35.0,29.862916666666667,9.7
25.0305,77.6403,2024-10-23,26.0,0.0,37.0,29.883750000000003,14.4
25.0022,77.7067,2024-10-23,26.5,0.0,36.0,29.881249999999998,19.1
24.9086,77.6533,2024-10-23,26.5,0.0,36.0,29.881249999999998,19.1
24.9216,76.826,2024-10-23,28.2,0.0,35.0,29.862916666666667,9.7
24.8801,77.1073,2024-10-23,26.0,0.0,37.0,29.883750000000003,14.4
24.661,77.5186,2024-10-23,26.0,0.0,37.0,29.883750000000003,14.4
24.5852,77.4081,2024-10-23,26.0,0.0,37.0,29.883750000000003,14.4
24.5778,77.4573,2024-10-23,26.0,0.0,37.0,29.883750000000003,14.4
27.8023,79.2742,2024-10-23,26.5,0.0,46.0,29.84125,17.6
27.8006,79.285,2024-10-23,26.5,0.0,46.0,29.84125,17.6
27.6298,79.7119,2024-10-23,26.2,0.0,49.0,29.837500000000002,11.9
27.6036,79.695,2024-10-23,26.2,0.0,49.0,29.837500000000002,11.9
26.9112,80.1971,2024-10-23,26.8,0.0,42.0,29.834999999999997,15.8
26.7671,80.0683,2024-10-23,26.8,0.0,42.0,29.834999999999997,15.8
26.7652,80.0802,2024-10-23,26.8,0.0,42.0,29.834999999999997,15.8
26.7575,80.0663,2024-10-23,26.8,0.0,42.0,29.834999999999997,15.8
26.7555,80.0783,2024-10-23,26.8,0.0,42.0,29.834999999999997,15.8
24.5047,77.5763,2024-10-23,26.5,0.0,36.0,29.881249999999998,19.1
24.4962,77.3859,2024-10-23,26.3,0.0,36.0,29.882916666666663,17.6
23.6751,78.5735,2024-10-23,25.1,0.0,40.0,29.883750000000003,18.7
23.1221,79.4579,2024-10-23,25.4,0.0,48.0,29.874583333333334,16.2
22.7562,69.5606,2024-10-23,29.6,0.1,62.0,29.8625,16.6
21.1605,78.4326,2024-10-23,25.8,0.0,61.0,29.865,13.3
21.1509,78.4309,2024-10-23,25.8,0.0,61.0,29.865,13.3
21.117,78.5176,2024-10-23,25.8,0.0,61.0,29.865,13.3
21.1344,78.262,2024-10-23,25.8,0.0,61.0,29.865,13.3
21.1249,78.2604,2024-10-23,25.8,0.0,61.0,29.865,13.3
20.8118,78.0231,2024-10-23,25.8,0.0,62.0,29.866249999999997,12.2
20.8101,78.034,2024-10-23,25.8,0.0,62.0,29.866249999999997,12.2
20.8084,78.0448,2024-10-23,25.8,0.0,62.0,29.866249999999997,12.2
20.8024,78.0215,2024-10-23,25.8,0.0,62.0,29.866249999999997,12.2
20.4714,77.7733,2024-10-23,25.5,0.0,64.0,29.863333333333333,14.4
19.4778,78.2127,2024-10-23,25.5,0.0,67.0,29.864583333333332,11.9
19.476,78.2241,2024-10-23,25.5,0.0,67.0,29.864583333333332,11.9
19.4681,78.2109,2024-10-23,25.5,0.0,67.0,29.864583333333332,11.9
19.4663,78.2223,2024-10-23,25.5,0.0,67.0,29.864583333333332,11.9
19.8191,75.2274,2024-10-23,25.1,0.5,65.0,29.887916666666666,11.9
18.7853,77.9148,2024-10-23,24.9,0.0,73.0,29.864583333333332,9.7
18.2022,77.4447,2024-10-23,24.4,0.0,75.0,29.87708333333333,11.9
18.2005,77.4555,2024-10-23,24.4,0.0,75.0,29.87708333333333,11.9
17.59,77.8116,2024-10-23,24.5,0.1,73.0,29.870833333333334,14.0
13.6846,76.7888,2024-10-23,24.7,11.29,77.0,29.853333333333335,9.4
16.5924,77.8889,2024-10-23,25.4,0.4,72.0,29.85291666666667,14.4
16.5194,77.895,2024-10-23,25.4,0.4,72.0,29.85291666666667,14.4
16.4398,78.0712,2024-10-23,26.2,0.0,73.0,29.839583333333334,14.0
15.8048,76.4444,2024-10-23,25.8,0.5,71.0,29.852500000000003,12.2
15.5303,77.2662,2024-10-23,26.8,0.2,71.0,29.836250000000003,10.4
15.5223,77.2535,2024-10-23,26.8,0.2,71.0,29.836250000000003,10.4
15.5206,77.2646,2024-10-23,26.8,0.2,71.0,29.836250000000003,10.4
14.5102,79.3576,2024-10-23,28.6,0.0,68.0,29.80875,13.0
14.8694,76.8277,2024-10-23,25.1,1.5,73.0,29.845,9.7
14.8599,76.8262,2024-10-23,25.1,1.5,73.0,29.845,9.7
14.6112,76.5177,2024-10-23,25.1,1.5,73.0,29.845,9.7
14.5565,76.4603,2024-10-23,24.3,7.4,78.0,29.8575,11.2
14.5549,76.4707,2024-10-23,24.3,7.4,78.0,29.8575,11.2
14.5203,76.5078,2024-10-23,24.3,7.4,78.0,29.8575,11.2
14.5125,76.4959,2024-10-23,24.3,7.4,78.0,29.8575,11.2
14.3255,76.5716,2024-10-23,25.0,5.6,75.0,29.84875,10.4
14.1047,76.8656,2024-10-23,24.7,11.29,77.0,29.853333333333335,9.4
14.0968,76.8531,2024-10-23,24.7,11.29,77.0,29.853333333333335,9.4
14.067,76.9159,2024-10-23,24.7,11.29,77.0,29.853333333333335,9.4
14.0573,76.9143,2024-10-23,24.7,11.29,77.0,29.853333333333335,9.4
14.0556,76.9254,2024-10-23,24.7,11.29,77.0,29.853333333333335,9.4
13.9595,76.9487,2024-10-23,24.7,11.29,77.0,29.853333333333335,9.4
13.9561,76.9536,2024-10-23,24.7,11.29,77.0,29.853333333333335,9.4
13.9605,76.7961,2024-10-23,24.7,11.29,77.0,29.853333333333335,9.4
13.9795,76.5455,2024-10-23,24.7,11.29,77.0,29.853333333333335,9.4
13.5633,76.9108,2024-10-23,23.0,8.6,84.0,29.872083333333336,8.8
13.3968,76.415,2024-10-23,22.6,19.9,85.0,29.872500000000002,9.0
13.2709,76.7535,2024-10-23,22.6,19.9,85.0,29.872500000000002,9.0
13.2629,76.7409,2024-10-23,22.6,19.9,85.0,29.872500000000002,9.0
12.6785,77.4421,2024-10-23,23.0,10.6,87.0,29.865416666666665,6.1
12.2996,78.4114,2024-10-23,24.5,0.1,84.0,29.848333333333333,8.6
10.9348,76.2056,2024-10-23,25.4,26.6,89.0,29.83666666666667,5.4
26.0495,79.0615,2024-10-23,27.4,0.0,32.0,29.842083333333335,20.5
29.0048,79.7245,2024-10-23,24.9,0.0,58.0,29.84125,10.4
29.0085,79.7435,2024-10-23,24.9,0.0,58.0,29.84125,10.4
28.8441,79.8564,2024-10-23,24.9,0.0,58.0,29.838333333333335,8.6
30.5797,76.2468,2024-10-23,26.3,0.0,30.0,29.865416666666665,18.7
30.5789,76.2514,2024-10-23,26.3,0.0,30.0,29.865416666666665,18.7
21.1949,81.412,2024-10-23,24.9,0.0,53.0,29.844166666666666,14.8
21.1793,81.3849,2024-10-23,24.9,0.0,53.0,29.844166666666666,14.8
22.0426,83.7348,2024-10-23,24.9,0.0,52.0,29.82375,15.8
30.5778,76.2598,2024-10-23,26.3,0.0,30.0,29.865416666666665,18.7
21.1058,72.6454,2024-10-23,28.7,0.0,66.0,29.839583333333334,11.2
23.7349,70.6625,2024-10-24,31.3,0.0,39.0,29.84125,14.8
10.1522,76.3808,2024-10-24,26.2,22.81,85.0,29.83791666666667,17.6
10.8336,77.0589,2024-10-24,25.3,3.93,80.0,29.832083333333333,18.0
10.8354,77.0705,2024-10-24,25.3,3.93,80.0,29.832083333333333,18.0
10.1801,77.8067,2024-10-24,22.9,2.02,86.0,29.862083333333334,6.8
14.7893,76.2782,2024-10-24,24.4,1.14,77.0,29.846666666666664,7.9
14.3191,79.6512,2024-10-24,28.3,0.0,67.0,29.794583333333335,11.5
14.3641,76.586,2024-10-24,25.2,0.0,69.0,29.83875,14.4
14.3623,76.5748,2024-10-24,25.2,0.0,69.0,29.83875,14.4
14.3606,76.5636,2024-10-24,25.2,0.0,69.0,29.83875,14.4
14.2163,75.5517,2024-10-24,22.8,0.7,87.0,29.8625,9.8
14.7866,76.2734,2024-10-24,24.4,1.14,77.0,29.846666666666664,7.9
14.7874,76.2667,2024-10-24,24.4,1.14,77.0,29.846666666666664,7.9
15.2229,76.0411,2024-10-24,25.0,0.0,64.0,29.840833333333332,12.6
15.2209,76.0293,2024-10-24,25.0,0.0,64.0,29.840833333333332,12.6
15.2588,76.0107,2024-10-24,25.0,0.0,64.0,29.840833333333332,12.6
16.8694,80.5308,2024-10-24,26.2,0.0,70.0,29.799166666666665,14.0
16.8681,80.5211,2024-10-24,26.2,0.0,70.0,29.799166666666665,14.0
17.5546,74.835,2024-10-24,26.1,0.0,57.0,29.846666666666668,13.3
21.0787,74.3654,2024-10-24,28.1,0.0,51.0,29.84166666666667,13.3
19.2601,74.3873,2024-10-24,25.0,0.0,61.0,29.879583333333333,12.6
22.1116,79.4472,2024-10-24,22.8,0.0,54.0,29.840416666666666,19.4
22.3923,77.1422,2024-10-24,25.6,0.0,54.0,29.834166666666665,11.9
22.5944,77.5033,2024-10-24,24.8,0.0,53.0,29.83375,12.5
22.593,77.4939,2024-10-24,24.8,0.0,53.0,29.83375,12.5
19.2705,74.3853,2024-10-24,25.0,0.0,61.0,29.879583333333333,12.6
19.6702,75.6346,2024-10-24,25.5,0.0,59.0,29.860833333333332,14.0
20.5306,74.5971,2024-10-24,26.0,0.0,53.0,29.8575,14.8
21.0487,74.4279,2024-10-24,28.1,0.0,51.0,29.84166666666667,13.3
21.0467,74.4155,2024-10-24,28.1,0.0,51.0,29.84166666666667,13.3
21.0526,74.3888,2024-10-24,28.1,0.0,51.0,29.84166666666667,13.3
21.0381,74.3011,2024-10-24,28.1,0.0,51.0,29.84166666666667,13.3
21.0766,74.353,2024-10-24,28.1,0.0,51.0,29.84166666666667,13.3
21.0507,74.3839,2024-10-24,28.1,0.0,51.0,29.84166666666667,13.3
21.0458,74.2945,2024-10-24,28.1,0.0,51.0,29.84166666666667,13.3
24.8552,77.69,2024-10-24,25.7,0.0,33.0,29.838333333333335,21.2
23.6095,80.2114,2024-10-24,23.6,0.0,51.0,29.826666666666668,15.1
23.5455,79.7145,2024-10-24,23.6,0.0,51.0,29.826666666666668,15.1
23.3026,77.4774,2024-10-24,26.0,0.0,35.0,29.842083333333335,18.7
23.9166,77.706,2024-10-24,26.2,0.0,35.0,29.83,23.0
24.2454,77.487,2024-10-24,25.7,0.0,33.0,29.840416666666666,21.6
24.2412,77.4583,2024-10-24,25.7,0.0,33.0,29.840416666666666,21.6
24.2399,77.4487,2024-10-24,25.7,0.0,33.0,29.840416666666666,21.6
24.3452,77.9337,2024-10-24,26.0,0.0,36.0,29.83,22.7
24.4576,77.7435,2024-10-24,25.7,0.0,33.0,29.838333333333335,21.2
24.445,77.5285,2024-10-24,25.7,0.0,33.0,29.840416666666666,21.6
24.5974,77.8926,2024-10-24,25.7,0.0,33.0,29.838333333333335,21.2
24.5591,77.434,2024-10-24,25.4,0.0,34.0,29.84375,20.2
24.6368,77.7697,2024-10-24,25.7,0.0,33.0,29.838333333333335,21.2
24.5441,77.1247,2024-10-24,25.4,0.0,34.0,29.84375,20.2
24.6557,77.4597,2024-10-24,25.4,0.0,34.0,29.84375,20.2
24.6563,77.0796,2024-10-24,25.4,0.0,34.0,29.84375,20.2
24.679,76.9275,2024-10-24,25.4,0.0,34.0,29.84375,20.2
24.7284,77.06,2024-10-24,25.4,0.0,34.0,29.84375,20.2
24.8372,77.5641,2024-10-24,25.7,0.0,33.0,29.838333333333335,21.2
24.8793,77.6063,2024-10-24,25.7,0.0,33.0,29.838333333333335,21.2
24.9753,77.7632,2024-10-24,25.7,0.0,33.0,29.838333333333335,21.2
24.8837,77.1254,2024-10-24,25.4,0.0,34.0,29.84375,20.2
24.986,77.7115,2024-10-24,25.7,0.0,33.0,29.838333333333335,21.2
25.0121,77.7502,2024-10-24,25.7,0.0,33.0,29.838333333333335,21.2
24.988,77.0057,2024-10-24,27.4,0.0,32.0,29.829583333333332,20.5
24.9866,76.996,2024-10-24,27.4,0.0,32.0,29.829583333333332,20.5
25.0224,77.1181,2024-10-24,25.4,0.0,34.0,29.84375,20.2
24.9919,76.7873,2024-10-24,27.4,0.0,32.0,29.829583333333332,20.5
25.1183,77.0153,2024-10-24,27.4,0.0,32.0,29.829583333333332,20.5
25.1971,76.9262,2024-10-24,27.4,0.0,32.0,29.829583333333332,20.5
25.3149,77.0966,2024-10-24,25.2,0.0,35.0,29.840416666666666,16.9
25.5597,78.7214,2024-10-24,26.6,0.0,32.0,29.811666666666667,16.6
25.5688,78.7199,2024-10-24,26.6,0.0,32.0,29.811666666666667,16.6
25.7135,79.5656,2024-10-24,27.4,0.0,34.0,29.796666666666667,9.4
25.6142,78.6536,2024-10-24,26.6,0.0,32.0,29.811666666666667,16.6
25.3142,75.9144,2024-10-24,27.8,0.0,29.0,29.832083333333333,20.9
25.3365,75.9407,2024-10-24,27.8,0.0,29.0,29.832083333333333,20.9
25.505,76.5078,2024-10-24,27.4,0.0,32.0,29.829583333333332,20.5
25.4654,76.1238,2024-10-24,27.8,0.0,29.0,29.832083333333333,20.9
25.4861,76.1401,2024-10-24,27.8,0.0,29.0,29.832083333333333,20.9
25.867,78.7493,2024-10-24,26.8,0.0,31.0,29.81041666666667,16.2
25.5946,76.4849,2024-10-24,26.8,0.0,30.0,29.827916666666667,18.4
26.0541,79.0561,2024-10-24,27.7,0.0,32.0,29.7975,11.2
25.8992,76.4908,2024-10-24,27.0,0.0,27.0,29.83791666666667,18.6
26.2716,78.8914,2024-10-24,27.3,0.0,36.0,29.800833333333333,9.0
30.2451,75.9447,2024-10-24,27.3,0.0,25.0,29.827916666666667,19.4
30.1847,74.6672,2024-10-24,27.5,0.0,24.0,29.846666666666668,10.4
30.2961,76.1743,2024-10-24,27.3,0.0,25.0,29.827916666666667,19.4
30.3767,76.7479,2024-10-24,26.0,0.0,30.0,29.81958333333333,17.3
27.5172,78.4233,2024-10-24,26.6,0.0,30.0,29.80666666666667,9.4
27.8241,77.4873,2024-10-24,26.9,0.0,26.0,29.81125,13.0
27.8344,77.4959,2024-10-24,26.9,0.0,26.0,29.81125,13.0
27.833,77.4858,2024-10-24,26.9,0.0,26.0,29.81125,13.0
